-0.463434,-0.728355;-0.299493,-0.471002;0.426159
0.243662,-0.464533;-0.501110,-0.277270;0.693390
-0.037158,-0.287829;0.600845,-0.399253;0.008545
0.086382,-0.411283;0.220139,-0.305234;0.428557
0.088521,-0.533902;-0.058944,-0.105438;0.919209
0.515184,-0.601984;0.410913,-0.387763;0.443134
0.209958,-0.242462;0.363195,-0.050739;0.908224
1.314003,-2.015520;-0.133623,-0.113638;0.010958
0.308059,-0.249258;0.152714,0.416721;0.140478
0.388153,-0.625349;0.021561,0.571359;0.623494
0.998539,0.798817;0.057245,0.267773;0.028568
0.146666,-2.285517;0.091604,0.125270;0.807882
-0.082921,-0.109703;-0.655022,0.319318;0.637077
0.579875,-0.628911;-0.551146,0.395506;0.429405
0.320403,-0.254923;0.242320,0.568160;0.689094
0.754332,-0.182315;-0.136581,-0.122011;0.493476
0.346233,-0.507340;-0.187171,0.330512;0.247858
3.234512,-13.467756;0.066911,-0.252050;0.155999
0.294672,-0.902838;-0.266360,0.266447;0.240396
-0.705455,5.703789;0.026348,-0.051860;0.387264
0.178814,-0.380687;-0.104100,0.167072;0.977773
-0.213459,-0.945519;-0.142469,-0.280203;0.724235
0.276625,-0.563094;-0.227241,-0.275805;0.736248
0.266298,-0.442967;-0.065032,0.231034;0.671390
3.247774,0.346385;-0.130137,0.141463;0.163150
-0.027968,-0.379875;-0.153162,-0.224684;0.206584
0.454404,-0.147205;0.062627,0.277933;0.398494
0.064303,-0.187840;0.262701,-0.075119;0.609559
0.741257,0.138792;-0.267792,-0.311912;0.301907
16.663588,21.623378;0.324848,0.426790;0.847373
0.494036,-0.387934;0.276480,-0.002960;0.610254
2.259081,-1.650514;0.060773,-0.249258;0.276543
-0.113126,-0.526977;-0.335625,-0.174926;0.948187
0.308840,-0.287758;0.006669,0.023812;0.384754
2.437003,1.458653;-0.026071,-0.125795;0.678849
0.360681,0.322208;0.408996,-0.012166;0.836352
0.338028,-0.293085;-0.535792,0.349604;0.098261
-0.056444,-0.897609;-0.126303,0.050332;0.014200
0.591949,-0.219627;0.213976,0.057639;0.586208
0.117849,-0.116874;0.357550,-0.041455;0.435473
0.337263,-0.636716;0.524593,0.180982;0.280095
0.049389,-0.701677;0.219887,-0.276423;0.826225
0.266689,-0.494930;0.381607,0.616047;0.957019
0.329533,-0.464757;-0.445888,0.491025;0.280810
-0.384220,0.105923;0.055090,-0.286744;0.838007
0.803535,-0.250282;-0.137469,-0.241286;0.322492
0.292003,0.288826;-0.190399,0.215182;0.158326
0.542404,-0.650005;0.071600,-0.510230;0.861182
0.175796,-0.488795;0.035731,0.182428;0.350921
0.381996,-0.462864;0.020166,-0.030087;0.668594
0.093898,-0.182893;0.404185,0.429973;0.360866
-0.049804,-0.315368;-0.307040,-0.193941;0.572939
0.364939,-0.523419;0.419046,-0.040363;0.160438
0.018432,-0.461153;-0.282306,-0.653473;0.744113
-0.031673,-0.514014;0.249047,0.611317;0.844392
-0.099627,-0.100287;-0.799474,0.449412;0.043857
0.034263,-0.515802;-0.382959,0.681338;0.092973
0.167930,-0.862008;0.505069,-0.094133;0.189432
-1.517778,-10.213903;-0.028558,-0.151992;0.305565
0.467696,-0.426064;-0.000078,-0.193849;0.303120
0.189122,-0.429848;0.183635,-0.329931;0.975952
-0.232850,-0.470952;0.394999,0.228883;0.873628
0.317631,0.017709;-0.126014,-0.293352;0.574454
0.074654,-0.477913;0.480539,-0.312122;0.095735
0.405188,-0.532278;-0.560408,-0.388558;0.698413
0.151111,-0.110012;-0.462665,0.591105;0.163193
10.293451,-7.075644;0.190954,-0.121461;0.244608
-0.093119,-0.343565;0.677934,0.099810;0.257091
0.756860,-0.608848;0.140957,0.065117;0.381440
-0.344260,-0.410298;-0.092379,-0.026405;0.501906
0.353021,-0.378393;-0.140378,0.290442;0.983274
0.001485,-0.405251;0.222892,-0.245776;0.793762
-1.012552,0.010626;0.229880,-0.086382;0.680557
-0.613722,-0.395143;0.047373,0.143467;0.577478
-1.136455,-0.453172;0.204783,-0.254478;0.236034
7.733532,-13.151234;0.155535,-0.269548;0.088984
0.077808,-0.643319;0.008983,-0.083420;0.948062
0.321188,-0.583096;0.104269,-0.036849;0.823238
-0.090639,-0.669857;0.459978,-0.136258;0.269578
0.227775,-0.545099;0.222739,0.319987;0.255832
12.478317,27.541513;0.247097,0.549524;0.927297
0.727691,-0.642431;-0.073330,0.436055;0.225645
0.592688,-0.550111;0.450358,-0.209464;0.993104
0.447339,-0.069206;0.075405,-0.039527;0.155484
0.309740,-0.485963;-0.085384,-0.246566;0.770772
0.865009,-0.628299;0.241103,0.295562;0.459479
0.402774,-0.201932;0.096546,-0.266822;0.264483
