0.040559,-1.497819;-0.078740,-0.024504;0.470012
-0.077986,-0.443231;0.154059,-0.379447;0.768974
0.206208,0.022941;-0.295784,0.414717;0.535353
-1.092386,-0.174427;-0.109382,0.000042;0.156084
12.695177,-2.504269;2.464899,-0.524459;0.004566
-0.098397,-0.428218;0.262737,-0.458166;0.572065
-0.144115,-0.464971;0.484878,0.465689;0.345926
0.366049,0.203092;0.043021,0.075084;0.181344
0.135973,-0.670202;0.195328,0.342871;0.385054
-0.120729,-0.567528;-0.043128,0.255503;0.591106
-1.741629,-0.235576;-0.206614,-0.212233;0.297488
1.713219,4.194657;0.158364,0.423401;0.654598
-0.225744,-0.406520;-0.135295,-0.091965;0.251331
0.086451,-1.218788;-0.168991,-0.110828;0.165051
-0.014117,-0.337265;1.033241,-0.421756;0.444211
-1.523776,-0.101617;-0.082341,-0.159280;0.542560
-0.051672,-0.472360;0.633995,-1.133307;0.180632
-0.176657,-0.040304;0.338503,0.267990;0.664708
-0.017601,-0.278024;-0.371282,0.225249;0.543373
-0.567899,-0.348868;-0.545634,0.038986;0.708111
1.710165,-1.724325;0.285598,-0.207266;0.363780
0.022306,-0.573113;-0.249450,0.723675;0.394059
-0.290413,-0.436639;0.477929,-0.240023;0.265716
1.144409,3.205151;0.178865,0.243408;0.923324
-0.679972,0.331668;0.271158,-0.058078;0.611841
-0.210710,0.081405;0.034995,-0.364008;0.826847
0.212535,-1.448534;-0.207430,-0.008873;0.544708
-0.003935,-0.542199;0.690742,0.417498;0.575190
-0.380740,-0.355038;-0.407568,0.092878;0.491218
-0.331984,-0.796998;-0.025643,0.428562;0.592573
0.069729,-2.160844;0.070795,-0.218162;0.430991
0.353484,-0.222235;-0.458083,0.140955;0.390706
-0.056747,-0.483755;-0.405335,0.170859;0.426778
-1.515889,-0.118633;-0.131610,-0.239652;0.553409
0.098719,-0.524250;-0.148646,-0.548457;0.786530
0.096263,-0.051033;-0.011328,-0.555769;0.492264
-0.032892,0.287699;-0.090658,-0.080765;0.814536
-0.009334,-0.213942;0.117661,-0.040319;0.390054
-0.139809,-0.267278;0.017696,0.190057;0.755136
0.166947,-0.314688;-0.192928,0.065788;0.493084
3.868974,4.009092;0.418999,0.423540;0.460473
-0.051440,-0.513222;-0.319597,0.317163;0.569362
-0.081473,0.135454;-0.025381,0.730749;0.220013
0.149199,-0.361051;-0.030393,0.298507;0.319157
0.127751,-0.317691;0.066744,-0.138703;0.920094
-0.134305,-0.265134;-0.736630,0.180061;0.669247
-0.115485,-0.443476;0.241210,-0.515225;0.617388
-0.106979,-0.507642;-0.168318,-0.046701;0.202547
1.103278,0.160476;0.193638,0.174543;0.627381
0.037341,-0.873792;-0.069309,-0.073881;0.787438
-0.064912,-0.393761;-0.102298,-0.179174;0.342959
-4.525698,-3.034966;-0.464212,-0.317176;0.488796
0.142998,-0.424304;-0.706538,0.245980;0.800809
0.087445,-0.565068;-0.120436,0.289664;0.363982
-3.977100,4.176524;-0.376853,0.447501;0.025469
-0.009705,-0.594566;0.488991,0.258262;0.504994
0.195849,-0.534260;0.229429,0.142240;0.684182
-0.185776,-0.327408;-0.388054,-0.220374;0.652757
-0.229354,-0.127503;-0.138686,-0.342680;0.863443
0.223984,-0.699576;0.145573,0.145066;0.319714
-4.672992,0.141434;-1.084503,0.115479;0.024528
-0.513837,-0.063574;-0.101641,-0.191952;0.218819
1.995018,4.101705;0.186403,0.411421;0.433504
